property_id,society,bedrooms,baths,built_year,nearby_locations_and_other_facilities,rooms,link,floors,furnished,other_business_and_communication_facilities,other_community_facilities,lawn_or_garden,other_healthcare_and_recreation_facilities,price,area,area_sqft,servant_quarters,kitchens,store_rooms,total_rooms,price_per_sqft,drawing_room,dining_room,lounge_or_sitting_room,laundry_room,study_room,prayer_room,powder_room,gym,steam_room,servant_quarters_flag,store_rooms_flag,kitchens_flag,other_rooms,luxury_score,furnishing_score
1,DHA Defence,5.0,6.0,2018.0,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","{'Bedrooms': '5', 'Bathrooms': '6', 'Servant Quarters': '1', 'Kitchens': '2', 'Store Rooms': '1'}",https://www.zameen.com/Property/dha_phase_1_dha_phase_1_-_block_k_one_kanal_used_modern_design_bungalow_for_sale_at_prime_location_of_dha_lahore_near_to_park_masjid_commercial_market-52639323-1651-1.html,True,True,,,True,,7.5,20.0,5445.0199999999995,1.0,2.0,1.0,3.0,13786.764705882353,1,1,1,1,1,1,1,0,1,0,0,0,1,49,25
1,DHA Defence,3.0,5.0,2018.0,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","{'Bedrooms': '3', 'Bathrooms': '5', 'Servant Quarters': '2', 'Kitchens': '2', 'Store Rooms': '2'}",https://www.zameen.com/Property/dha_phase_3_dha_phase_3_-_block_y_4_kanal_slightly_used_modern_design_most_beautiful_fully_furnished_bungalow_for_sale_at_prime_location_of_dha_lahore_near_to_park_masjid_commercial_market-52654352-1587-1.html,True,True,,,True,,42.0,80.0,21780.079999999998,2.0,2.0,2.0,4.0,19301.470588235294,1,1,1,1,1,1,1,0,1,0,0,0,1,52,25
1,DHA Defence,5.0,7.0,2025.0,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","{'Bedrooms': '5', 'Bathrooms': '6', 'Servant Quarters': '2', 'Kitchens': '2', 'Store Rooms': '2'}",https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_l_in_dha_phase_6_-_block_l_of_lahore_a_1_kanal_house_is_available-52877387-1620-1.html,True,True,True,True,True,True,14.7,20.0,5445.0199999999995,2.0,2.0,2.0,4.0,27022.058823529413,1,1,1,1,1,1,1,1,1,0,0,0,1,66,25
1,DHA Defence,7.0,7.0,2018.0,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","{'Bedrooms': '6', 'Bathrooms': '7', 'Servant Quarters': '1', 'Kitchens': '2', 'Store Rooms': '1'}",https://www.zameen.com/Property/dha_phase_2_dha_phase_2_-_block_r_2_kanal_used_spanish_design_most_beautiful_well_maintained_7-bedroom_bungalow_for_sale_at_prime_location_of_dha_lahore_near_to_park_masjid_commercial_market-52907377-1571-1.html,True,,,,True,,14.0,40.0,10890.039999999999,1.0,2.0,1.0,3.0,12867.64705882353,1,1,1,1,1,1,1,0,1,0,0,0,1,52,15
1,DHA Defence,7.0,6.0,2022.0,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","{'Bedrooms': '7', 'Bathrooms': '8', 'Servant Quarters': '2', 'Kitchens': '2', 'Store Rooms': '2'}",https://www.zameen.com/Property/dha_defence_dha_phase_8_one_kanal_brand_new_luxury_ultra-modern_design_most_beautiful_full_basement_bungalow_2_servant_quarter_in_basement_with_solar_installed_for_sale_at_prime_location_of_dha_lahore_near_to_park_masjid_commercial_market-52907428-1451-1.html,True,True,True,True,True,True,10.5,20.0,5445.0199999999995,2.0,2.0,2.0,4.0,19301.470588235294,1,1,1,1,1,1,1,0,1,0,0,0,1,62,25
1,DHA Defence,6.0,7.0,2025.0,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","{'Bedrooms': '6', 'Bathrooms': '7', 'Servant Quarters': '2', 'Kitchens': '2', 'Store Rooms': '2'}",https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_k_one_kanal_brand_new_luxury_ultra-modern_design_most_beautiful_full_basement_fully_furnished_home_theater_swimming_pool_bungalow_for_sale_at_prime_location_of_dha_lahore_near_to_park_masjid_defence_raya_fairways_commercial-52911533-1619-1.html,True,True,True,True,True,,23.9,20.0,5445.0199999999995,2.0,2.0,2.0,4.0,43933.82352941176,1,1,1,1,1,1,1,1,1,0,0,0,1,59,25
1,DHA Defence,3.0,4.0,2026.0,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","{'Bedrooms': '3', 'Bathrooms': '4'}",https://www.zameen.com/Property/dha_defence_dha_9_town_5_marla_brand_new_house_for_sale-53887785-1452-1.html,True,,True,True,True,True,2.45,5.0,1361.2549999999999,,,,,18014.70588235294,1,1,1,1,1,1,1,1,1,1,1,1,1,58,15
1,DHA Defence,4.0,5.0,2025.0,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","{'Bedrooms': '4', 'Bathrooms': '5', 'Servant Quarters': '1', 'Kitchens': '2', 'Store Rooms': '2'}",https://www.zameen.com/Property/dha_defence_dha_phase_5_10_marla_brand_new_beautifully_designed_modern_house_for_sale_at_super_hot_location_dha_phase_5-53022421-1447-1.html,2,True,True,True,True,True,5.1,10.0,2722.5099999999998,1.0,2.0,2.0,4.0,18750.0,1,1,1,1,1,1,1,1,1,0,0,0,1,66,25
1,DHA Defence,3.0,3.0,,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","{'Bedrooms': '5', 'Bathrooms': '6', 'Kitchens': '2'}",https://www.zameen.com/Property/dha_defence_dha_9_town_5_marla_house_for_sale_in_dha_9_town-53990941-1452-1.html,,,,,,,2.5,5.0,1361.2549999999999,,2.0,,,18382.352941176472,1,1,1,1,1,1,0,1,1,0,0,0,0,25,3
1,DHA Defence,5.0,6.0,2025.0,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","{'Bedrooms': '5', 'Bathrooms': '6', 'Servant Quarters': '2', 'Kitchens': '2', 'Store Rooms': '2'}",https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_s_1_kanal_top_quality_build_luxurious_beautiful_modern_design_villa_with_basement_for_sale_in_dha_lahore_phase_7_prime_location-52720499-1626-1.html,2,True,True,True,True,True,7.05,20.0,5445.0199999999995,2.0,2.0,2.0,4.0,12959.558823529413,1,1,1,1,1,1,1,1,1,0,0,0,1,66,25
