Property ID,Society,Society Link,Name,Page Title,Price,Marla,Area (sqft),Bedrooms,Baths,Floor Number,Total Floors,Built Year,Rooms,Other Rooms,Link,Built in year,Parking Spaces,Floors,Bathrooms,Servant Quarters,Kitchens,Store Rooms
53565017,Pak Arab Housing Society,https://www.zameen.com/Houses_Property/Lahore_Pak_Arab_Housing_Society-1006-1.html,"4 Bedroom House for sale in Pak Arab Housing Society, Lahore","Pak Arab Housing Society, Lahore, Punjab",PKR 2.3 Crore,6.0,1350.0,4,5,,,,"{'Bedrooms': '4', 'Bathrooms': '6', 'Kitchens': '2', 'Store Rooms': '1'}","Drawing Room, Dining Room, Lounge or Sitting Room, Laundry Room",https://www.zameen.com/Property/lahore_pak_arab_housing_society_6_marla_double_story_brand_new_house_for_sale-53565017-1006-1.html,,,2,6,,2,1
53565025,Pak Arab Housing Society,https://www.zameen.com/Houses_Property/Lahore_Pak_Arab_Housing_Society-1006-1.html,"3 Bedroom House for sale in Pak Arab Housing Society, Lahore","Pak Arab Housing Society, Lahore, Punjab",PKR 2.25 Crore,5.0,1125.0,3,4,,,,"{'Bedrooms': '3', 'Bathrooms': '4', 'Kitchens': '2', 'Store Rooms': '1'}","Drawing Room, Dining Room, Lounge or Sitting Room, Laundry Room",https://www.zameen.com/Property/lahore_pak_arab_housing_society_5_marla_spanish_double_storey_house_for_sale-53565025-1006-1.html,,3,2,4,,2,1
52979027,Pak Arab Housing Society,https://www.zameen.com/Houses_Property/Lahore_Pak_Arab_Housing_Society-1006-1.html,"3 Bedroom House for sale in Pak Arab Housing Society, Lahore","Pak Arab Housing Society Phase 1, Pak Arab Housing Society, Lahore, Punjab",PKR 1.4 Crore,3.0,675.0,05,3,,,2015,"{'Bedrooms': '05', 'Bathrooms': '07', 'Servant Quarters': '1', 'Kitchens': '2', 'Store Rooms': '1'}","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/pak_arab_housing_society_pak_arab_housing_society_phase_1_3_marla_used_house_for_sale-52979027-8246-1.html,2015,1,2.5,07,1,2,1
52376094,Pak Arab Housing Society,https://www.zameen.com/Houses_Property/Lahore_Pak_Arab_Housing_Society-1006-1.html,"3 Bedroom House for sale in Pak Arab Housing Society, Lahore","Pak Arab Housing Society, Lahore, Punjab",PKR 1.05 Crore,3.0,675.0,3,3,,,2024,"{'Bedrooms': '3', 'Bathrooms': '3', 'Kitchens': '2'}","Servant Quarters, Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/lahore_pak_arab_housing_society_3_marla_beautifull_house_for_sale_in_pak_arab_housing_society-52376094-1006-1.html,2024,,1,3,,2,
52395447,Pak Arab Housing Society,https://www.zameen.com/Houses_Property/Lahore_Pak_Arab_Housing_Society-1006-1.html,"3 Bedroom House for sale in Pak Arab Housing Society, Lahore","Pak Arab Housing Society, Lahore, Punjab",PKR 2.15 Crore,5.0,1125.0,4,4,,,2022,"{'Bedrooms': '4', 'Bathrooms': '4', 'Kitchens': '1', 'Store Rooms': '1'}","Drawing Room, Dining Room, Lounge or Sitting Room, Laundry Room",https://www.zameen.com/Property/lahore_pak_arab_housing_society_5_marla_house_for_sale_in_pak_arab_housing_society_lahore-52395447-1006-1.html,2022,,2,4,,1,1
52436762,Pak Arab Housing Society,https://www.zameen.com/Houses_Property/Lahore_Pak_Arab_Housing_Society-1006-1.html,"4 Bedroom House for sale in Pak Arab Housing Society, Lahore","Pak Arab Society Phase 1 - Block B, Pak Arab Housing Society Phase 1, Pak Arab Housing Society, Lahore, Punjab",PKR 2.2 Crore,5.0,1125.0,2,5,,,2022,"{'Bedrooms': '2', 'Bathrooms': '2', 'Kitchens': '1'}",Other Rooms,https://www.zameen.com/Property/pak_arab_housing_society_phase_1_pak_arab_society_phase_1_-_block_b_5_marla_triple_storey_corner_house_for_sale-52436762-4109-1.html,2022,1,,2,,1,
53415432,Pak Arab Housing Society,https://www.zameen.com/Houses_Property/Lahore_Pak_Arab_Housing_Society-1006-1.html,"7 Bedroom House for sale in Pak Arab Housing Society, Lahore","Pak Arab Society Phase 2 - Block F1, Pak Arab Housing Society Phase 2, Pak Arab Housing Society, Lahore, Punjab",PKR 1.5 Crore,5.0,1125.0,7,6,,,,{},,https://www.zameen.com/Property/pak_arab_housing_society_phase_2_pak_arab_society_phase_2_-_block_f1_5_marla_triple_storey_with_basement_house_for_sale-53415432-9276-1.html,,,,,,,
53448351,Pak Arab Housing Society,https://www.zameen.com/Houses_Property/Lahore_Pak_Arab_Housing_Society-1006-1.html,"3 Bedroom House for sale in Pak Arab Housing Society, Lahore","Pak Arab Society Phase 2 - Block E, Pak Arab Housing Society Phase 2, Pak Arab Housing Society, Lahore, Punjab",PKR 1.35 Crore,3.0,675.0,3,3,,,2024,"{'Bedrooms': '3', 'Bathrooms': '3', 'Servant Quarters': '2', 'Kitchens': '1', 'Store Rooms': '2'}","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/pak_arab_housing_society_phase_2_pak_arab_society_phase_2_-_block_e_house_sized_3_marla_available_in_pak_arab_society_phase_2_-_block_e-53448351-8248-1.html,2024,4,2,3,2,1,2
53575955,Pak Arab Housing Society,https://www.zameen.com/Houses_Property/Lahore_Pak_Arab_Housing_Society-1006-1.html,"3 Bedroom House for sale in Pak Arab Housing Society, Lahore","Pak Arab Society Phase 2 - Block F1, Pak Arab Housing Society Phase 2, Pak Arab Housing Society, Lahore, Punjab",PKR 1.3 Crore,5.0,1125.0,3,3,,,,"{'Bedrooms': '3', 'Bathrooms': '3', 'Kitchens': '2'}","Drawing Room, Dining Room, Lounge or Sitting Room",https://www.zameen.com/Property/pak_arab_housing_society_phase_2_pak_arab_society_phase_2_-_block_f1_5_marla_house_for_sale_in_the_perfect_location_of_pak_arab_society_phase_2_-_block_f1-53575955-9276-1.html,,,,3,,2,
53575954,Pak Arab Housing Society,https://www.zameen.com/Houses_Property/Lahore_Pak_Arab_Housing_Society-1006-1.html,"4 Bedroom House for sale in Pak Arab Housing Society, Lahore","Pak Arab Society Phase 2 - Block F1, Pak Arab Housing Society Phase 2, Pak Arab Housing Society, Lahore, Punjab",PKR 1.2 Crore,5.0,1125.0,4,4,,,,"{'Bedrooms': '4', 'Bathrooms': '4', 'Kitchens': '2'}","Drawing Room, Dining Room, Lounge or Sitting Room",https://www.zameen.com/Property/pak_arab_housing_society_phase_2_pak_arab_society_phase_2_-_block_f1_5_marla_house_for_sale_in_pak_arab_housing_society-53575954-9276-1.html,,,,4,,2,
